"Field Name", "Example Values", "Field Type", "Notes"
"alert_definitions_version", "2020.1 , 4092348", "keyword", "Version or identification value that indicates the version a collection of signatures (A/V, etc.) is in use"
"nick_definitions_version", "2020.1 , 4092348", "keyword", "Version or identification value that indicates the version a collection of signatures (A/V, etc.) is in use"
